MyState {position = (7,7), direction = (1,1), velocity = 500.0}
MyState {position = (21,1), direction = (1,1), velocity = 800.0}
MyState {position = (22,2), direction = (1,1), velocity = 800.0}
MyState {position = (23,3), direction = (1,1), velocity = 800.0}
MyState {position = (24,4), direction = (1,1), velocity = 800.0}
MyState {position = (25,5), direction = (1,1), velocity = 800.0}
MyState {position = (26,6), direction = (1,1), velocity = 800.0}
MyState {position = (27,7), direction = (1,1), velocity = 800.0}
MyState {position = (28,8), direction = (1,1), velocity = 800.0}
MyState {position = (29,9), direction = (1,1), velocity = 800.0}
MyState {position = (30,10), direction = (1,1), velocity = 800.0}
MyState {position = (29,11), direction = (-1,1), velocity = 800.0}
MyState {position = (28,12), direction = (-1,1), velocity = 800.0}
MyState {position = (27,13), direction = (-1,1), velocity = 800.0}
MyState {position = (26,14), direction = (-1,1), velocity = 800.0}
MyState {position = (25,15), direction = (-1,1), velocity = 800.0}
MyState {position = (24,16), direction = (-1,1), velocity = 800.0}
MyState {position = (23,17), direction = (-1,1), velocity = 800.0}
MyState {position = (22,18), direction = (-1,1), velocity = 800.0}
MyState {position = (21,19), direction = (-1,1), velocity = 800.0}
MyState {position = (20,20), direction = (-1,1), velocity = 800.0}
MyState {position = (19,19), direction = (-1,-1), velocity = 800.0}
MyState {position = (18,18), direction = (-1,-1), velocity = 800.0}
MyState {position = (17,17), direction = (-1,-1), velocity = 800.0}
MyState {position = (16,16), direction = (-1,-1), velocity = 800.0}
MyState {position = (15,15), direction = (-1,-1), velocity = 800.0}
MyState {position = (14,14), direction = (-1,-1), velocity = 800.0}
MyState {position = (13,13), direction = (-1,-1), velocity = 800.0}
MyState {position = (12,12), direction = (-1,-1), velocity = 800.0}
MyState {position = (11,11), direction = (-1,-1), velocity = 800.0}
MyState {position = (10,10), direction = (-1,-1), velocity = 800.0}
MyState {position = (9,9), direction = (-1,-1), velocity = 800.0}
MyState {position = (8,8), direction = (-1,-1), velocity = 800.0}
MyState {position = (7,7), direction = (-1,-1), velocity = 800.0}
MyState {position = (6,6), direction = (-1,-1), velocity = 800.0}
MyState {position = (5,5), direction = (-1,-1), velocity = 800.0}
MyState {position = (4,4), direction = (-1,-1), velocity = 800.0}
MyState {position = (3,3), direction = (-1,-1), velocity = 800.0}
MyState {position = (2,2), direction = (-1,-1), velocity = 800.0}
MyState {position = (1,1), direction = (-1,-1), velocity = 800.0}
MyState {position = (0,0), direction = (-1,-1), velocity = 800.0}
MyState {position = (1,1), direction = (1,1), velocity = 800.0}
MyState {position = (2,2), direction = (1,1), velocity = 800.0}
MyState {position = (3,3), direction = (1,1), velocity = 800.0}
MyState {position = (4,4), direction = (1,1), velocity = 800.0}
MyState {position = (5,5), direction = (1,1), velocity = 800.0}
MyState {position = (6,6), direction = (1,1), velocity = 800.0}
MyState {position = (7,7), direction = (1,1), velocity = 800.0}
MyState {position = (8,8), direction = (1,1), velocity = 800.0}
MyState {position = (9,9), direction = (1,1), velocity = 800.0}
MyState {position = (10,10), direction = (1,1), velocity = 800.0}
MyState {position = (11,11), direction = (1,1), velocity = 800.0}
MyState {position = (12,12), direction = (1,1), velocity = 800.0}
MyState {position = (13,13), direction = (1,1), velocity = 800.0}
MyState {position = (14,14), direction = (1,1), velocity = 800.0}
MyState {position = (15,15), direction = (1,1), velocity = 800.0}
MyState {position = (16,16), direction = (1,1), velocity = 800.0}
MyState {position = (17,17), direction = (1,1), velocity = 800.0}
MyState {position = (18,18), direction = (1,1), velocity = 800.0}
MyState {position = (19,19), direction = (1,1), velocity = 800.0}
MyState {position = (20,20), direction = (1,1), velocity = 800.0}
MyState {position = (21,19), direction = (1,-1), velocity = 800.0}
MyState {position = (22,18), direction = (1,-1), velocity = 800.0}
MyState {position = (23,17), direction = (1,-1), velocity = 800.0}
MyState {position = (24,16), direction = (1,-1), velocity = 800.0}
MyState {position = (25,15), direction = (1,-1), velocity = 800.0}
MyState {position = (26,14), direction = (1,-1), velocity = 800.0}
MyState {position = (27,13), direction = (1,-1), velocity = 800.0}
MyState {position = (28,12), direction = (1,-1), velocity = 800.0}
MyState {position = (29,11), direction = (1,-1), velocity = 800.0}
MyState {position = (30,10), direction = (1,-1), velocity = 800.0}
MyState {position = (29,9), direction = (-1,-1), velocity = 800.0}
MyState {position = (28,8), direction = (-1,-1), velocity = 800.0}
MyState {position = (27,7), direction = (-1,-1), velocity = 800.0}
MyState {position = (26,6), direction = (-1,-1), velocity = 800.0}
MyState {position = (25,5), direction = (-1,-1), velocity = 800.0}
MyState {position = (24,4), direction = (-1,-1), velocity = 800.0}
MyState {position = (23,3), direction = (-1,-1), velocity = 800.0}
MyState {position = (22,2), direction = (-1,-1), velocity = 800.0}
MyState {position = (21,1), direction = (-1,-1), velocity = 800.0}
MyState {position = (20,0), direction = (-1,-1), velocity = 800.0}
MyState {position = (19,1), direction = (-1,1), velocity = 800.0}
MyState {position = (18,2), direction = (-1,1), velocity = 800.0}
MyState {position = (17,3), direction = (-1,1), velocity = 800.0}
MyState {position = (16,4), direction = (-1,1), velocity = 800.0}
MyState {position = (15,5), direction = (-1,1), velocity = 800.0}
MyState {position = (14,6), direction = (-1,1), velocity = 800.0}
MyState {position = (13,7), direction = (-1,1), velocity = 800.0}
MyState {position = (12,8), direction = (-1,1), velocity = 800.0}
MyState {position = (11,9), direction = (-1,1), velocity = 800.0}
MyState {position = (10,10), direction = (-1,1), velocity = 800.0}
MyState {position = (9,11), direction = (-1,1), velocity = 800.0}
MyState {position = (8,12), direction = (-1,1), velocity = 800.0}
MyState {position = (7,13), direction = (-1,1), velocity = 800.0}
MyState {position = (6,14), direction = (-1,1), velocity = 800.0}
MyState {position = (5,15), direction = (-1,1), velocity = 800.0}
MyState {position = (4,16), direction = (-1,1), velocity = 800.0}
MyState {position = (3,17), direction = (-1,1), velocity = 800.0}
MyState {position = (2,18), direction = (-1,1), velocity = 800.0}
MyState {position = (1,19), direction = (-1,1), velocity = 800.0}
MyState {position = (0,20), direction = (-1,1), velocity = 800.0}
MyState {position = (1,19), direction = (1,-1), velocity = 800.0}
MyState {position = (2,18), direction = (1,-1), velocity = 800.0}
MyState {position = (3,17), direction = (1,-1), velocity = 800.0}
MyState {position = (4,16), direction = (1,-1), velocity = 800.0}
MyState {position = (5,15), direction = (1,-1), velocity = 800.0}
MyState {position = (6,14), direction = (1,-1), velocity = 800.0}
MyState {position = (7,13), direction = (1,-1), velocity = 800.0}
MyState {position = (8,12), direction = (1,-1), velocity = 800.0}
MyState {position = (9,11), direction = (1,-1), velocity = 800.0}
MyState {position = (10,10), direction = (1,-1), velocity = 800.0}
MyState {position = (11,9), direction = (1,-1), velocity = 800.0}
MyState {position = (12,8), direction = (1,-1), velocity = 800.0}
MyState {position = (13,7), direction = (1,-1), velocity = 800.0}
MyState {position = (14,6), direction = (1,-1), velocity = 800.0}
MyState {position = (15,5), direction = (1,-1), velocity = 800.0}
MyState {position = (16,4), direction = (1,-1), velocity = 800.0}
MyState {position = (17,3), direction = (1,-1), velocity = 800.0}
MyState {position = (18,2), direction = (1,-1), velocity = 800.0}
MyState {position = (19,1), direction = (1,-1), velocity = 800.0}
MyState {position = (20,0), direction = (1,-1), velocity = 800.0}
MyState {position = (21,1), direction = (1,1), velocity = 800.0}
MyState {position = (22,2), direction = (1,1), velocity = 800.0}
MyState {position = (23,3), direction = (1,1), velocity = 800.0}
MyState {position = (24,4), direction = (1,1), velocity = 800.0}
MyState {position = (25,5), direction = (1,1), velocity = 800.0}
MyState {position = (26,6), direction = (1,1), velocity = 800.0}
MyState {position = (27,7), direction = (1,1), velocity = 800.0}
